,,,LMP,,,,,,,,,,,,,,,CAJ,,,,,,,,,,,,,,
Listener,Sentence,#,KW1,KW1 (R),KW1 (S),KW2,KW2 (R),KW2 (S),KW3,KW3 (R),KW3 (S),KW4,KW4 (R),KW4 (S),KW5,KW5 (R),KW5 (S),KW1,KW1 (R),KW1 (S),KW2,KW2 (R),KW2 (S),KW3,KW3 (R),KW3 (S),KW4,KW4 (R),KW4 (S),KW5,KW5 (R),KW5 (S)
NAF004,23-07,70,shaky,1,1,barn,1,1,fell,1,1,loud,1,1,crash,1,1,shaky,1,1,barn,1,1,fell,1,1,loud,1,1,crash,1,1
NAF004,27-09,71,dash,1,1,pepper,1,1,spoils,1,1,beef,1,1,stew,1,1,dash,1,1,pepper,1,1,spoils,1,1,beef,1,1,stew,1,1
NAF004,18-02,72,child,1,1,almost,0,0,hurt,0,0,small,1,1,dog,1,1,child,1,1,almost,0,0,hurt,0,0,small,1,1,dog,1,1
NAF004,30-06,73,heap,0,0,fallen,0,0,leaves,1,1,set,1,1,fire,1,1,heap,0,0,fallen,0,0,leaves,1,1,set,1,1,fire,1,1
NAF004,11-05,74,add,1,1,sum,1,1,product,1,1,these,0,0,three,0,0,add,1,1,sum,1,1,product,1,1,these,0,0,three,0,0
NAF004,63-05,75,flaps,0,0,cape,0,0,she,1,1,parades,0,0,street,0,0,flaps,0,0,cape,0,0,she,1,1,parades,0,0,street,0,0
NAF004,42-09,76,point,1,1,steel,1,1,pen,1,1,bent,1,1,twisted,0,0,point,1,1,steel,1,1,pen,1,1,bent,1,1,twisted,0,0
NAF004,34-01,77,nine,1,1,rows,1,1,soldiers,1,1,stood,1,1,line,1,1,nine,1,1,rows,1,1,soldiers,1,1,stood,1,1,line,1,1
NAF004,49-05,78,offered,1,1,proof,0,0,form,1,1,large,1,1,chart,0,0,offered,1,1,proof,0,0,form,1,1,large,1,1,chart,0,0
NAF004,11-07,79,ripe,1,1,taste,1,1,cheese,1,1,improves,1,1,age,1,1,ripe,1,1,taste,1,1,cheese,1,1,improves,1,1,age,1,1
NAF004,18-04,80,sky,1,1,morning,1,1,clear,1,1,bright,1,1,blue,1,1,sky,1,1,morning,1,1,clear,1,1,bright,1,1,blue,1,1
NAF004,33-05,81,crunch,1,1,feet,1,1,snow,1,1,only,1,1,sound,1,1,crunch,1,1,feet,1,1,snow,1,1,only,1,1,sound,1,1
NAF004,16-01,82,empty,1,1,flask,1,1,stood,1,1,tin,0,0,tray,0,0,empty,1,1,flask,1,1,stood,1,1,tin,0,0,tray,0,0
NAF004,70-04,83,take,1,1,match,1,1,strike,1,1,against,1,1,shoe,1,1,take,1,1,match,1,1,strike,1,1,against,1,1,shoe,1,1
NAF004,62-06,84,early,0,0,phase,0,0,life,0,0,moves,1,1,fast,1,1,early,0,0,phase,0,0,life,0,0,moves,1,1,fast,1,1
NAF004,06-01,85,frosty,1,1,air,1,1,passed,1,1,through,1,1,coat,1,1,frosty,1,1,air,1,1,passed,1,1,through,1,1,coat,1,1
NAF004,06-10,86,both,1,1,lost,1,1,lives,1,1,raging,0,0,storm,1,1,both,1,1,lost,1,1,lives,1,1,raging,0,0,storm,1,1
NAF004,25-02,87,play,1,1,began,1,1,soon,1,1,sat,1,1,down,1,1,play,1,1,began,1,1,soon,1,1,sat,1,1,down,1,1
NAF004,13-07,88,caught,0,0,hind,0,0,paw,0,0,rusty,0,0,trap,0,0,caught,0,0,hind,0,0,paw,0,0,rusty,0,0,trap,0,0
NAF004,47-01,89,music,1,1,played,1,1,on,1,1,while,0,0,talked,0,0,music,1,1,played,1,1,on,1,1,while,0,0,talked,0,0
NAF004,25-04,90,add,1,1,salt,1,1,before,0,0,fry,0,0,egg,0,0,add,1,1,salt,1,1,before,0,0,fry,0,0,egg,0,0
NAF004,52-10,91,beetle,1,1,droned,1,1,hot,0,0,june,0,0,sun,0,0,beetle,1,1,droned,1,1,hot,0,0,june,0,0,sun,0,0
NAF004,24-09,92,waxed,1,1,floor,1,1,makes,1,1,lose,1,1,balance,1,1,waxed,1,1,floor,1,1,makes,1,1,lose,1,1,balance,1,1
NAF004,33-08,93,plush,1,1,chair,1,1,leaned,1,1,against,1,1,wall,1,1,plush,1,1,chair,1,1,leaned,1,1,against,1,1,wall,1,1
NAF004,19-06,94,add,1,1,column,1,1,put,1,1,sum,1,1,here,1,1,add,1,1,column,1,1,put,1,1,sum,1,1,here,1,1
NAF004,08-02,95,two,1,1,met,1,1,while,1,1,playing,1,1,sand,1,1,two,1,1,met,1,1,while,1,1,playing,1,1,sand,1,1
NAF004,48-01,96,kite,1,1,flew,1,1,wildly,1,1,high,1,1,wind,1,1,kite,1,1,flew,1,1,wildly,1,1,high,1,1,wind,1,1
NAF004,39-10,97,sun,1,1,came,1,1,light,1,1,eastern,1,1,sky,1,1,sun,1,1,came,1,1,light,1,1,eastern,1,1,sky,1,1
NAF004,70-02,98,bad,1,1,error,1,1,part,1,1,new,1,1,judge,1,1,bad,1,1,error,1,1,part,1,1,new,1,1,judge,1,1
NAF004,15-07,99,tree,1,1,top,1,1,waved,1,1,graceful,1,1,way,1,1,tree,1,1,top,1,1,waved,1,1,graceful,1,1,way,1,1
NAF004,58-03,100,hidden,1,1,sight,1,1,mass,1,1,leaves,1,1,shrubs,1,1,hidden,1,1,sight,1,1,mass,1,1,leaves,1,1,shrubs,1,1
NAF004,28-08,101,junk,1,1,yard,1,1,had,1,1,moldy,1,1,smell,0,0,junk,1,1,yard,1,1,had,1,1,moldy,1,1,smell,0,0
NAF004,30-02,102,gold,1,1,ring,1,1,fits,1,1,pierced,0,0,ear,0,0,gold,1,1,ring,1,1,fits,1,1,pierced,0,0,ear,0,0
NAF004,28-01,103,horse,1,1,trotted,1,1,field,1,1,brisk,0,0,pace,0,0,horse,1,1,trotted,1,1,field,1,1,brisk,0,0,pace,0,0
NAF004,57-06,104,round,1,1,hole,1,1,drilled,1,1,thin,0,0,board,1,1,round,1,1,hole,1,1,drilled,1,1,thin,0,0,board,1,1
NAF004,46-02,105,couch,1,1,cover,1,0,hall,0,0,drapes,0,0,blue,0,0,couch,1,1,cover,1,0,hall,0,0,drapes,0,0,blue,0,0
NAF004,46-05,106,clothes,1,1,dried,1,1,thin,1,1,wooden,0,0,rack,1,1,clothes,1,1,dried,1,1,thin,1,1,wooden,0,0,rack,1,1
NAF004,20-04,107,paper,1,1,box,1,1,full,1,1,thumb,0,0,tacks,0,0,paper,1,1,box,1,1,full,1,1,thumb,0,0,tacks,0,0
NAF004,14-04,108,two,0,0,plus,0,0,seven,0,0,less,1,1,ten,0,0,two,0,0,plus,0,0,seven,0,0,less,1,1,ten,0,0
NAF004,07-08,109,grand,1,1,season,1,1,hikes,1,1,on,1,1,road,1,1,grand,1,1,season,1,1,hikes,1,1,on,1,1,road,1,1
NAF004,34-05,110,pages,1,0,bound,1,1,cloth,1,1,make,0,0,book,0,0,pages,1,0,bound,1,1,cloth,1,1,make,0,0,book,0,0
